                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.69848,                 0.8377,                 1.1721,                0.93782,                0.38612,                0.50001,                0.38629,                 1.7814,                 2.5799,                 1.5909,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.69002,                 1.2814,                 1.2781,                0.93782,                0.38612,                0.50001,                0.38629,                 1.7814,                 2.5799,                 1.5909,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.71539,                  1.008,                   1.13,                0.93782,                0.38612,                0.50001,                0.38629,                 1.7814,                 2.5799,                 1.5909,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.74898,                0.90701,                 1.1053,                0.93587,                0.38635,                0.47334,                0.33626,                 1.7716,                  2.577,                 1.5669,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                0.74534,                 0.9149,                 1.0924,                0.93587,                0.38635,                0.47334,                0.33626,                 1.7716,                  2.577,                 1.5669,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                0.87365,                0.94904,                 1.2915,                0.93587,                0.38635,                0.47334,                0.33626,                 1.7716,                  2.577,                 1.5669,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                 1.1257,                 1.5293,                 1.4345,                0.93642,                0.38659,                0.44616,                0.31163,                 1.7857,                 2.5479,                 1.5636,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                0.68601,                0.90034,                 1.1361,                0.93642,                0.38659,                0.44616,                0.31163,                 1.7857,                 2.5479,                 1.5636,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                0.90709,                 1.5248,                 1.3532,                0.93642,                0.38659,                0.44616,                0.31163,                 1.7857,                 2.5479,                 1.5636,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                0.93416,                0.92952,                 1.3336,                0.94009,                0.38615,                 0.4189,                0.28661,                 1.7831,                 2.5441,                 1.5518,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                0.80973,                  1.389,                 1.3411,                0.94009,                0.38615,                 0.4189,                0.28661,                 1.7831,                 2.5441,                 1.5518,             2.7222e-05,             2.7222e-05,             2.7222e-05
